profiel,G,A,h,b,tw,tf,AL,Iy,Wy,Iz,Wz
nr.,kg/m,mm2,mm,mm,mm,mm,m2/m,mm4,mm3,mm4,mm3
80,6,764,80,46,3.8,5.2,328,80.1,20.0,8.49,3.69
100,8,1032,100,55,4.1,5.7,400,171,34.2,15.9,5.79
120,10,1321,120,64,4.4,6.3,475,318,53.0,27.7,8.65
140,13,1643,140,73,4.7,6.9,551,541,77.3,44.9,12.3
160,16,2009,160,82,5,7.4,623,869,109,68.3,16.7
180,19,2395,180,91,5.3,8,698,1317,146,101,22.2
200,22,2848,200,100,5.6,8.5,768,1943,194,142,28.5
220,26,3337,220,110,5.9,9.2,848,2772,252,205,37.3
240,31,3912,240,120,6.2,9.8,922,3892,324,284,47.3
270,36,4595,270,135,6.6,10.2,1.04,5790,429,420,62.2
300,43,5381,300,150,7.1,10.7,1.16,8356,557,604,80.5
330,50,6261,330,160,7.5,11.5,1.25,11767,713,788,98.5
360,58,7273,360,170,8,12.7,1.35,16266,904,1043,123
400,67,8446,400,180,8.6,13.5,1.47,23128,1156,1318,146
450,79,9882,450,190,9.4,14.6,1.61,33743,1500,1676,176
500,92,11552,500,200,10.2,16,1.74,48199,1928,2142,214
550,108,13442,550,210,11.1,17.2,1.88,67117,2441,2668,254
600,125,15598,600,220,12,19,2.01,92083,3069,3387,308

